OML UID,Entity / Source,Survey Type,Status,Assignee,Neighborhood,Zone,Lat,Long,House damage,Personal impact,Intensity
MS14,MySay,Psychological & Social Support,Unknown,,,,33.98382367,35.63938587,I don't have a house in Beirut,Physical injury,2:: Very weak / I felt the vibrations because I was in upper floors
MS15,MySay,Psychological & Social Support,Unknown,,,,33.67072875,35.5992049,No,None of the above,4::Weak/ It felt like a slight earthquake
MS16,MySay,Psychological & Social Support,Unknown,,,,33.55321495,35.38669196,I don't have a house in Beirut,None of the above,4::Weak/ It felt like a slight earthquake
MS17,MySay,Psychological & Social Support,Unknown,,,,33.89007174,35.51519231,Some damage,Physical injury,7::Very strong / the house cracked and furniture and home essentials were destroyed/ the chimney was smashed
MS18,MySay,Psychological & Social Support,Unknown,,,,33.92566384,35.63145161,I don't have a house in Beirut,None of the above,4::Weak/ It felt like a slight earthquake
MS19,MySay,Psychological & Social Support,Unknown,,,,33.88309982,35.5327034,No,Relocation,
MS20,MySay,Psychological & Social Support,Unknown,,,,33.37642792,35.48337754,I don't have a house in Beirut,Physical injury,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS21,MySay,Psychological & Social Support,Unknown,,,,33.89274203,35.67549894,I don't have a house in Beirut,Physical injury,4::Weak/ It felt like a slight earthquake
MS22,MySay,Psychological & Social Support,Unknown,,,,33.86014678,35.50478925,No,None of the above,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS23,MySay,Psychological & Social Support,Unknown,,,,33.87264256,35.49279213,Some damage,None of the above,4::Weak/ It felt like a slight earthquake
MS24,MySay,Psychological & Social Support,Unknown,,,,33.84032324,35.92316531,I don't have a house in Beirut,None of the above,1::I did not feel it / I was not affected by any damage as a result of the explosion
MS25,MySay,Psychological & Social Support,Unknown,,,,33.86023667,35.51278633,No,None of the above,4::Weak/ It felt like a slight earthquake
MS26,MySay,Psychological & Social Support,Unknown,,,,34.43400432,35.83740299,I don't have a house in Beirut,None of the above,1::I did not feel it / I was not affected by any damage as a result of the explosion
MS27,MySay,Psychological & Social Support,Unknown,,,,34.54424705,36.08094692,No,None of the above,1::I did not feel it / I was not affected by any damage as a result of the explosion
MS28,MySay,Psychological & Social Support,Unknown,,,,33.89308754,35.49441856,Some damage,None of the above,"9:: Violent/partial collapse of the house, fall of the chimney, building shifted off foundations"
MS29,MySay,Psychological & Social Support,Unknown,,,,33.97189065,35.61327186,I don't have a house in Beirut,The death of a spouse/partner,1::I did not feel it / I was not affected by any damage as a result of the explosion
MS30,MySay,Psychological & Social Support,Unknown,,,,33.89831133,35.53536415,I don't have a house in Beirut,None of the above,"6::Strong / I was very scared, a large part of the furniture was smashed"
MS31,MySay,Psychological & Social Support,Unknown,,,,33.79046453,35.49932985,I don't have a house in Beirut,Relocation,3:: Very Weak / the house shook in a weird way/ my parked car shook as if a fast truck was passing by it
MS32,MySay,Psychological & Social Support,Unknown,,,,33.87770621,35.50651576,No,None of the above,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS33,MySay,Psychological & Social Support,Unknown,,,,33.69562846,35.65210675,I don't have a house in Beirut,None of the above,4::Weak/ It felt like a slight earthquake
MS34,MySay,Psychological & Social Support,Unknown,,,,33.88811854,35.50028131,No,The death of a spouse/partner,3:: Very Weak / the house shook in a weird way/ my parked car shook as if a fast truck was passing by it
MS35,MySay,Psychological & Social Support,Unknown,,,,33.86895791,35.54247788,Some damage,None of the above,10:: Extreme/ The house was destroyed / shattered and it became uninhabitable after the explosion
MS36,MySay,Psychological & Social Support,Unknown,,,,33.88230195,35.51982444,Some damage,Physical injury,
MS37,MySay,Psychological & Social Support,Unknown,,,,33.83095948,35.51559289,No,None of the above,7::Very strong / the house cracked and furniture and home essentials were destroyed/ the chimney was smashed
MS38,MySay,Psychological & Social Support,Unknown,,,,33.89231789,35.52032501,No,None of the above,"8::Severe / partial demolition of the house, the chimney fell completely, columns and statues fell, and heavy furniture tumbled"
MS39,MySay,Psychological & Social Support,Unknown,,,,34.04554029,35.63554513,I don't have a house in Beirut,None of the above,4::Weak/ It felt like a slight earthquake
MS40,MySay,Psychological & Social Support,Unknown,,,,33.85859253,35.51511282,I don't have a house in Beirut,None of the above,4::Weak/ It felt like a slight earthquake
MS41,MySay,Psychological & Social Support,Unknown,,,,34.00986605,36.19145221,No,None of the above,1::I did not feel it / I was not affected by any damage as a result of the explosion
MS42,MySay,Psychological & Social Support,Unknown,,,,34.1482978,35.64153727,I don't know,The death of a child,"9:: Violent/partial collapse of the house, fall of the chimney, building shifted off foundations"
MS43,MySay,Psychological & Social Support,Unknown,,,,34.04540638,35.63483687,I don't have a house in Beirut,Physical injury,1::I did not feel it / I was not affected by any damage as a result of the explosion
MS44,MySay,Psychological & Social Support,Unknown,,,,33.93616718,35.62090382,No,None of the above,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS45,MySay,Psychological & Social Support,Unknown,,,,33.86681436,35.96419301,I don't have a house in Beirut,None of the above,1::I did not feel it / I was not affected by any damage as a result of the explosion
MS46,MySay,Psychological & Social Support,Unknown,,,,33.89020495,35.50118476,Total destruction,None of the above,"6::Strong / I was very scared, a large part of the furniture was smashed"
MS47,MySay,Psychological & Social Support,Unknown,,,,33.89523006,35.5165565,No,The death of a parent,10:: Extreme/ The house was destroyed / shattered and it became uninhabitable after the explosion
MS48,MySay,Psychological & Social Support,Unknown,,,,33.89698865,35.50248668,No,None of the above,1::I did not feel it / I was not affected by any damage as a result of the explosion
MS49,MySay,Psychological & Social Support,Unknown,,,,33.9046215,35.49902704,Some damage,Physical injury,"6::Strong / I was very scared, a large part of the furniture was smashed"
MS50,MySay,Psychological & Social Support,Unknown,,,,33.88935211,35.50238855,Some damage,None of the above,"8::Severe / partial demolition of the house, the chimney fell completely, columns and statues fell, and heavy furniture tumbled"
MS51,MySay,Psychological & Social Support,Unknown,,,,33.84551898,35.49716779,No,None of the above,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS52,MySay,Psychological & Social Support,Unknown,,,,33.89427143,35.50461632,Some damage,None of the above,10:: Extreme/ The house was destroyed / shattered and it became uninhabitable after the explosion
MS53,MySay,Psychological & Social Support,Unknown,,,,34.28887434,35.97891652,No,None of the above,1::I did not feel it / I was not affected by any damage as a result of the explosion
MS54,MySay,Psychological & Social Support,Unknown,,,,33.88074425,35.50002685,Some damage,None of the above,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS55,MySay,Psychological & Social Support,Unknown,,,,33.77070479,35.68723771,I don't have a house in Beirut,None of the above,4::Weak/ It felt like a slight earthquake
MS56,MySay,Psychological & Social Support,Unknown,,,,33.91810097,35.64224991,I don't have a house in Beirut,None of the above,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS57,MySay,Psychological & Social Support,Unknown,,,,33.88955189,35.49722238,Some damage,Permanent disability,"6::Strong / I was very scared, a large part of the furniture was smashed"
MS58,MySay,Psychological & Social Support,Unknown,,,,33.81537312,35.61584745,I don't have a house in Beirut,None of the above,3:: Very Weak / the house shook in a weird way/ my parked car shook as if a fast truck was passing by it
MS59,MySay,Psychological & Social Support,Unknown,,,,33.92273554,35.61350668,No,None of the above,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS60,MySay,Psychological & Social Support,Unknown,,,,33.86654064,35.53440537,No,None of the above,10:: Extreme/ The house was destroyed / shattered and it became uninhabitable after the explosion
MS61,MySay,Psychological & Social Support,Unknown,,,,33.98304186,35.63874939,I don't have a house in Beirut,None of the above,4::Weak/ It felt like a slight earthquake
MS62,MySay,Psychological & Social Support,Unknown,,,,33.88916413,35.52873495,Some damage,Physical injury,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS63,MySay,Psychological & Social Support,Unknown,,,,33.84191345,35.53268616,Some damage,Physical injury,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS64,MySay,Psychological & Social Support,Unknown,,,,33.36334068,35.58864146,I don't have a house in Beirut,Permanent disability,1::I did not feel it / I was not affected by any damage as a result of the explosion
MS65,MySay,Psychological & Social Support,Unknown,,,,33.88730374,35.52085876,Some damage,Physical injury,"8::Severe / partial demolition of the house, the chimney fell completely, columns and statues fell, and heavy furniture tumbled"
MS66,MySay,Psychological & Social Support,Unknown,,,,34.0973698,35.97960728,Some damage,Physical injury,
MS67,MySay,Psychological & Social Support,Unknown,,,,33.56736966,35.50728199,I don't have a house in Beirut,The death of a parent,4::Weak/ It felt like a slight earthquake
MS68,MySay,Psychological & Social Support,Unknown,,,,33.54016941,35.58554505,I don't have a house in Beirut,None of the above,4::Weak/ It felt like a slight earthquake
MS69,MySay,Psychological & Social Support,Unknown,,,,33.98537535,35.71067076,I don't have a house in Beirut,None of the above,4::Weak/ It felt like a slight earthquake
MS70,MySay,Psychological & Social Support,Unknown,,,,33.89197056,35.48283577,Some damage,None of the above,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS71,MySay,Psychological & Social Support,Unknown,,,,33.98085124,36.21402272,I don't have a house in Beirut,None of the above,4::Weak/ It felt like a slight earthquake
MS72,MySay,Psychological & Social Support,Unknown,,,,33.87916291,35.59042454,No,None of the above,"6::Strong / I was very scared, a large part of the furniture was smashed"
MS73,MySay,Psychological & Social Support,Unknown,,,,33.85448629,35.52412033,Some damage,None of the above,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS74,MySay,Psychological & Social Support,Unknown,,,,33.88765526,35.51078707,Some damage,None of the above,
MS75,MySay,Psychological & Social Support,Unknown,,,,33.87833147,35.55474019,No,Physical injury,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS76,MySay,Psychological & Social Support,Unknown,,,,33.87777815,35.57671667,No,None of the above,4::Weak/ It felt like a slight earthquake
MS77,MySay,Psychological & Social Support,Unknown,,,,33.88004378,35.5415327,No,None of the above,
MS78,MySay,Psychological & Social Support,Unknown,,,,33.88937102,35.50001443,Some damage,Physical injury,"8::Severe / partial demolition of the house, the chimney fell completely, columns and statues fell, and heavy furniture tumbled"
MS79,MySay,Psychological & Social Support,Unknown,,,,34.25356949,35.65974012,I don't have a house in Beirut,Physical injury,1::I did not feel it / I was not affected by any damage as a result of the explosion
MS80,MySay,Psychological & Social Support,Unknown,,,,34.11414997,35.63682139,Some damage,None of the above,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS81,MySay,Psychological & Social Support,Unknown,,,,33.8845799,35.52028609,Some damage,None of the above,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS82,MySay,Psychological & Social Support,Unknown,,,,33.89280849,35.50206822,Some damage,Relocation,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS83,MySay,Psychological & Social Support,Unknown,,,,33.86873086,35.55115476,No,None of the above,4::Weak/ It felt like a slight earthquake
MS84,MySay,Psychological & Social Support,Unknown,,,,33.80614275,35.50126135,Some damage,Physical injury,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS85,MySay,Psychological & Social Support,Unknown,,,,33.89367257,35.52690797,Some damage,Physical injury,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS86,MySay,Psychological & Social Support,Unknown,,,,33.71299731,35.5517149,I don't have a house in Beirut,None of the above,2:: Very weak / I felt the vibrations because I was in upper floors
MS87,MySay,Psychological & Social Support,Unknown,,,,33.81111639,35.56132601,I don't have a house in Beirut,Physical injury,4::Weak/ It felt like a slight earthquake
MS88,MySay,Psychological & Social Support,Unknown,,,,33.377345,35.47934697,I don't have a house in Beirut,None of the above,1::I did not feel it / I was not affected by any damage as a result of the explosion
MS89,MySay,Psychological & Social Support,Unknown,,,,33.99264168,35.65294395,No,None of the above,4::Weak/ It felt like a slight earthquake
MS90,MySay,Psychological & Social Support,Unknown,,,,33.853703,35.49653572,No,None of the above,1::I did not feel it / I was not affected by any damage as a result of the explosion
MS91,MySay,Psychological & Social Support,Unknown,,,,33.09822397,35.34137981,I don't have a house in Beirut,Physical injury,1::I did not feel it / I was not affected by any damage as a result of the explosion
MS92,MySay,Psychological & Social Support,Unknown,,,,33.88626585,35.5089961,Some damage,Permanent disability,7::Very strong / the house cracked and furniture and home essentials were destroyed/ the chimney was smashed
MS93,MySay,Psychological & Social Support,Unknown,,,,33.89538567,35.51521209,No,Physical injury,"9:: Violent/partial collapse of the house, fall of the chimney, building shifted off foundations"
MS94,MySay,Psychological & Social Support,Unknown,,,,33.84451188,35.49945529,No,None of the above,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS95,MySay,Psychological & Social Support,Unknown,,,,33.89378735,35.52364826,,,10:: Extreme/ The house was destroyed / shattered and it became uninhabitable after the explosion
MS96,MySay,Psychological & Social Support,Unknown,,,,33.90191062,35.52813985,No,None of the above,10:: Extreme/ The house was destroyed / shattered and it became uninhabitable after the explosion
MS97,MySay,Psychological & Social Support,Unknown,,,,33.8044531,35.50618623,No,None of the above,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS98,MySay,Psychological & Social Support,Unknown,,,,33.89887568,35.51007783,,,
MS99,MySay,Psychological & Social Support,Unknown,,,,33.88186254,35.48737642,No,None of the above,1::I did not feel it / I was not affected by any damage as a result of the explosion
MS100,MySay,Psychological & Social Support,Unknown,,,,33.6913241,35.51076105,No,None of the above,4::Weak/ It felt like a slight earthquake
MS101,MySay,Psychological & Social Support,Unknown,,,,33.84563733,35.54602936,Some damage,Physical injury,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS102,MySay,Psychological & Social Support,Unknown,,,,33.27026336,35.20146283,No,Physical injury,1::I did not feel it / I was not affected by any damage as a result of the explosion
MS103,MySay,Psychological & Social Support,Unknown,,,,33.9027015,35.5752486,Some damage,Relocation,"6::Strong / I was very scared, a large part of the furniture was smashed"
MS104,MySay,Psychological & Social Support,Unknown,,,,33.93449455,35.65059185,I don't have a house in Beirut,None of the above,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS105,MySay,Psychological & Social Support,Unknown,,,,33.93293557,35.58972529,I don't have a house in Beirut,The death of a relative/close family member (ex. brother),"6::Strong / I was very scared, a large part of the furniture was smashed"
MS106,MySay,Psychological & Social Support,Unknown,,,,33.86151404,35.59259723,No,Relocation,4::Weak/ It felt like a slight earthquake
MS107,MySay,Psychological & Social Support,Unknown,,,,33.84640358,35.92560413,I don't have a house in Beirut,None of the above,2:: Very weak / I felt the vibrations because I was in upper floors
MS108,MySay,Psychological & Social Support,Unknown,,,,33.6195636,35.82714175,I don't have a house in Beirut,None of the above,1::I did not feel it / I was not affected by any damage as a result of the explosion
MS109,MySay,Psychological & Social Support,Unknown,,,,33.88838515,35.65269035,Some damage,The death of a parent,"6::Strong / I was very scared, a large part of the furniture was smashed"
MS110,MySay,Psychological & Social Support,Unknown,,,,33.88979749,35.47039032,Some damage,Permanent disability,7::Very strong / the house cracked and furniture and home essentials were destroyed/ the chimney was smashed
MS111,MySay,Psychological & Social Support,Unknown,,,,33.87976762,35.54121936,Some damage,None of the above,"6::Strong / I was very scared, a large part of the furniture was smashed"
MS112,MySay,Psychological & Social Support,Unknown,,,,33.92338444,35.8065033,Some damage,Physical injury,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS113,MySay,Psychological & Social Support,Unknown,,,,33.87372265,35.47960068,I don't have a house in Beirut,None of the above,1::I did not feel it / I was not affected by any damage as a result of the explosion
MS114,MySay,Psychological & Social Support,Unknown,,,,33.90002316,35.51482958,I don't have a house in Beirut,None of the above,10:: Extreme/ The house was destroyed / shattered and it became uninhabitable after the explosion
MS115,MySay,Psychological & Social Support,Unknown,,,,33.8952533,35.53406216,Some damage,Relocation,7::Very strong / the house cracked and furniture and home essentials were destroyed/ the chimney was smashed
MS116,MySay,Psychological & Social Support,Unknown,,,,33.49956403,35.84037328,I don't have a house in Beirut,None of the above,1::I did not feel it / I was not affected by any damage as a result of the explosion
MS117,MySay,Psychological & Social Support,Unknown,,,,33.88535531,35.50873404,,,1::I did not feel it / I was not affected by any damage as a result of the explosion
MS118,MySay,Psychological & Social Support,Unknown,,,,33.88061032,35.52294552,Some damage,None of the above,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS119,MySay,Psychological & Social Support,Unknown,,,,33.77340666,35.90512741,I don't have a house in Beirut,None of the above,1::I did not feel it / I was not affected by any damage as a result of the explosion
MS120,MySay,Psychological & Social Support,Unknown,,,,33.88682386,35.5134066,Some damage,Physical injury,4::Weak/ It felt like a slight earthquake
MS121,MySay,Psychological & Social Support,Unknown,,,,33.89327645,35.49428282,Some damage,None of the above,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS122,MySay,Psychological & Social Support,Unknown,,,,33.85135719,35.51613183,No,None of the above,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS123,MySay,Psychological & Social Support,Unknown,,,,33.78966763,35.48333162,I don't have a house in Beirut,None of the above,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS124,MySay,Psychological & Social Support,Unknown,,,,34.25636515,35.65956116,I don't have a house in Beirut,Relocation,2:: Very weak / I felt the vibrations because I was in upper floors
MS125,MySay,Psychological & Social Support,Unknown,,,,34.44025842,35.82772606,I don't have a house in Beirut,None of the above,1::I did not feel it / I was not affected by any damage as a result of the explosion
MS126,MySay,Psychological & Social Support,Unknown,,,,33.89202922,35.5053257,No,None of the above,3:: Very Weak / the house shook in a weird way/ my parked car shook as if a fast truck was passing by it
MS127,MySay,Psychological & Social Support,Unknown,,,,33.89189654,35.49720348,Some damage,None of the above,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS128,MySay,Psychological & Social Support,Unknown,,,,33.89487776,35.53374029,Some damage,Physical injury,7::Very strong / the house cracked and furniture and home essentials were destroyed/ the chimney was smashed
MS129,MySay,Psychological & Social Support,Unknown,,,,33.84984754,35.5281542,No,None of the above,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS130,MySay,Psychological & Social Support,Unknown,,,,33.87779196,35.54528756,Some damage,The death of a parent,10:: Extreme/ The house was destroyed / shattered and it became uninhabitable after the explosion
MS131,MySay,Psychological & Social Support,Unknown,,,,33.86256548,35.50848739,No,None of the above,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS132,MySay,Psychological & Social Support,Unknown,,,,33.81606858,35.57907111,No,None of the above,3:: Very Weak / the house shook in a weird way/ my parked car shook as if a fast truck was passing by it
MS133,MySay,Psychological & Social Support,Unknown,,,,33.83367435,35.51838189,No,None of the above,4::Weak/ It felt like a slight earthquake
MS134,MySay,Psychological & Social Support,Unknown,,,,33.87585076,35.56451273,Some damage,None of the above,"8::Severe / partial demolition of the house, the chimney fell completely, columns and statues fell, and heavy furniture tumbled"
MS135,MySay,Psychological & Social Support,Unknown,,,,33.27102934,35.2078947,No,None of the above,1::I did not feel it / I was not affected by any damage as a result of the explosion
MS136,MySay,Psychological & Social Support,Unknown,,,,34.01627981,35.79516593,I don't have a house in Beirut,Permanent disability,2:: Very weak / I felt the vibrations because I was in upper floors
MS137,MySay,Psychological & Social Support,Unknown,,,,33.89076662,35.52460809,Some damage,Relocation,"6::Strong / I was very scared, a large part of the furniture was smashed"
MS138,MySay,Psychological & Social Support,Unknown,,,,33.89350236,35.51639557,No,None of the above,1::I did not feel it / I was not affected by any damage as a result of the explosion
MS139,MySay,Psychological & Social Support,Unknown,,,,33.37474404,35.47933342,I don't have a house in Beirut,None of the above,4::Weak/ It felt like a slight earthquake
MS140,MySay,Psychological & Social Support,Unknown,,,,33.86549277,35.52080288,Some damage,None of the above,3:: Very Weak / the house shook in a weird way/ my parked car shook as if a fast truck was passing by it
MS141,MySay,Psychological & Social Support,Unknown,,,,33.96783254,35.68488091,No,None of the above,4::Weak/ It felt like a slight earthquake
MS142,MySay,Psychological & Social Support,Unknown,,,,33.80973917,35.50963648,No,None of the above,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS143,MySay,Psychological & Social Support,Unknown,,,,34.27440869,35.82225228,No,None of the above,1::I did not feel it / I was not affected by any damage as a result of the explosion
MS144,MySay,Psychological & Social Support,Unknown,,,,33.89054995,35.56370362,No,None of the above,"9:: Violent/partial collapse of the house, fall of the chimney, building shifted off foundations"
MS145,MySay,Psychological & Social Support,Unknown,,,,33.88914981,35.49300388,Some damage,None of the above,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS146,MySay,Psychological & Social Support,Unknown,,,,33.8815546,35.49261754,Some damage,Physical injury,"9:: Violent/partial collapse of the house, fall of the chimney, building shifted off foundations"
MS147,MySay,Psychological & Social Support,Unknown,,,,33.88867086,35.55393577,Total destruction,The death of a relative/close family member (ex. brother),"8::Severe / partial demolition of the house, the chimney fell completely, columns and statues fell, and heavy furniture tumbled"
MS148,MySay,Psychological & Social Support,Unknown,,,,33.89506271,35.53647633,I don't have a house in Beirut,None of the above,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS149,MySay,Psychological & Social Support,Unknown,,,,33.8866888,35.51399942,Some damage,The death of a child,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS150,MySay,Psychological & Social Support,Unknown,,,,33.89416967,35.52445941,Total destruction,Relocation,"9:: Violent/partial collapse of the house, fall of the chimney, building shifted off foundations"
MS151,MySay,Psychological & Social Support,Unknown,,,,33.87928245,35.54494423,No,None of the above,7::Very strong / the house cracked and furniture and home essentials were destroyed/ the chimney was smashed
MS152,MySay,Psychological & Social Support,Unknown,,,,33.87062547,35.49704868,Some damage,None of the above,
MS153,MySay,Psychological & Social Support,Unknown,,,,33.91657304,35.58535482,I don't have a house in Beirut,None of the above,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS154,MySay,Psychological & Social Support,Unknown,,,,33.90126106,35.58933261,Some damage,None of the above,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS155,MySay,Psychological & Social Support,Unknown,,,,33.84404334,35.51300526,No,None of the above,
MS156,MySay,Psychological & Social Support,Unknown,,,,33.90262136,35.49785614,I don't have a house in Beirut,Relocation,"6::Strong / I was very scared, a large part of the furniture was smashed"
MS157,MySay,Psychological & Social Support,Unknown,,,,33.61242645,35.43539246,,,1::I did not feel it / I was not affected by any damage as a result of the explosion
MS158,MySay,Psychological & Social Support,Unknown,,,,33.87240285,35.72992938,I don't have a house in Beirut,None of the above,4::Weak/ It felt like a slight earthquake
MS159,MySay,Psychological & Social Support,Unknown,,,,33.87550577,35.50723767,No,None of the above,4::Weak/ It felt like a slight earthquake
MS160,MySay,Psychological & Social Support,Unknown,,,,33.87058,35.50225375,Some damage,None of the above,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS161,MySay,Psychological & Social Support,Unknown,,,,34.21987937,35.71175745,I don't have a house in Beirut,None of the above,1::I did not feel it / I was not affected by any damage as a result of the explosion
MS162,MySay,Psychological & Social Support,Unknown,,,,33.89549277,35.53259075,Total destruction,Physical injury,7::Very strong / the house cracked and furniture and home essentials were destroyed/ the chimney was smashed
MS163,MySay,Psychological & Social Support,Unknown,,,,33.8894203,35.53847381,No,Permanent disability,2:: Very weak / I felt the vibrations because I was in upper floors
MS164,MySay,Psychological & Social Support,Unknown,,,,33.99238929,35.64774339,Some damage,Physical injury,4::Weak/ It felt like a slight earthquake
MS165,MySay,Psychological & Social Support,Unknown,,,,33.88978633,35.55968839,No,None of the above,3:: Very Weak / the house shook in a weird way/ my parked car shook as if a fast truck was passing by it
MS166,MySay,Psychological & Social Support,Unknown,,,,33.91800993,35.5622248,,,
MS167,MySay,Psychological & Social Support,Unknown,,,,33.89183727,35.53869451,Some damage,Permanent disability,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS168,MySay,Psychological & Social Support,Unknown,,,,33.88566374,35.49942562,I don't have a house in Beirut,None of the above,10:: Extreme/ The house was destroyed / shattered and it became uninhabitable after the explosion
MS169,MySay,Psychological & Social Support,Unknown,,,,34.43661094,35.83886147,I don't have a house in Beirut,None of the above,1::I did not feel it / I was not affected by any damage as a result of the explosion
MS170,MySay,Psychological & Social Support,Unknown,,,,33.87969218,35.54396201,Some damage,The death of a relative/close family member (ex. brother),10:: Extreme/ The house was destroyed / shattered and it became uninhabitable after the explosion
MS171,MySay,Psychological & Social Support,Unknown,,,,33.85601038,35.56706943,I don't have a house in Beirut,None of the above,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
