OML UID,Entity / Source,Survey Type,Assignee,Zone,Supplier UID,Lat,Long,Status,BwS Status,Parcel (3ekar),Address,Neighborhood,Assignee
BwS12,Beb w Shebek,Shelter,,,AC-10,33.889167,35.514139,Completed,Completed,Ac_2143/249,"Achrafieh, Tabaris, Traubaud Street, Kronfol Bldg, 1st floor",Achrafieh,TARA
BwS13,Beb w Shebek,Shelter,,,AC-11,33.889109,35.526557,Completed,Completed,Ac_605,"Sayde Church, Bouza Bachir, the turn next to Rizk Adverstising, first building to the left ",Achrafieh,TARA
BwS14,Beb w Shebek,Shelter,,,AC-12,,,Referred,Referred,,,Achrafieh,TARA
BwS15,Beb w Shebek,Shelter,,,AC-13,33.895111,35.523472,Completed,Completed,,El Khazinieh Street,Achrafieh,TARA
BwS16,Beb w Shebek,Shelter,,,AC-14,,,Referred,Referred,,Borj El Ghazal,Achrafieh,ADRIA
BwS17,Beb w Shebek,Shelter,,,AC-15,,,Referred,Referred,,Burj El Ghazal,Achrafieh,
BwS18,Beb w Shebek,Shelter,,,AC-16,,,Referred,Referred,,"Huvelin, USJ parking Entrance",Achrafieh,BE BEIRUT
BwS19,Beb w Shebek,Shelter,,,AC-19,,,Referred,Referred,,Achrafieh Sagesse Street,Achrafieh,GATSELERIA
BwS20,Beb w Shebek,Shelter,,,AC-20,33.888639,35.525722,Referred,Referred,Re_1170/66,Independence Street,Achrafieh,
BwS21,Beb w Shebek,Shelter,,,AC-21,,,Completed,Completed,,"Noeiry street, خلف المحكمة الجعفرية القديمة, The building with ""Fool El Rayyes"", 3rd floor.",Achrafieh,HASSAN
BwS22,Beb w Shebek,Shelter,,,AC-22,,,Not Started,Not Started,,Facing Moudiriyyit El Darak next to Lycee,Achrafieh,
BwS23,Beb w Shebek,Shelter,,,AC-23,33.895417,35.523694,Completed,Completed,Re_2392,,Achrafieh,GATSELERIA
BwS24,Beb w Shebek,Shelter,,,AC-24,33.893333,35.526972,Referred,Referred,,Near Roum Hospital,Achrafieh,
BwS25,Beb w Shebek,Shelter,,,AC-25,33.895056,35.515694,Completed,Completed,Re_2139,Mar Noula Stairs,Achrafieh,ALEX
BwS26,Beb w Shebek,Shelter,,,AC-26,,,Referred,Referred,,,Achrafieh,BE BEIRUT
BwS27,Beb w Shebek,Shelter,,,AC-27,,,Referred,Referred,,"Achrafieh, fasouh, bldg Abrat, Ground Floor ",Achrafieh,BE BEIRUT
BwS28,Beb w Shebek,Shelter,,,AC-28,,,Referred,Referred,,"Achrafieh, strt Mar Luise, bldg Al Harati, 4th floor ",Achrafieh,BE BEIRUT
BwS29,Beb w Shebek,Shelter,,,AC-29,,,Referred,Referred,,Fassouh ,Achrafieh,BE BEIRUT
BwS30,Beb w Shebek,Shelter,,,AC-30,33.887425,35.530499,Completed,Completed,Ac_4066/13,"Achrafieh, strt Ghaba tal3t karam, facing gallery boulous, bldg al salam, 2nd floor",Achrafieh,BE BEIRUT
BwS31,Beb w Shebek,Shelter,,,AC-31,33.891220,35.517464,Completed,Completed,Ac_4171/22,"Selim Bustros Strt, bldg Leila El Merhebeh, 6th floor",Achrafieh,BE BEIRUT
BwS32,Beb w Shebek,Shelter,,,AC-32,33.890139,35.524500,Completed,Completed,Ac_144/19,"Fassouh, Moutran atallah strt, bldg Cehwan, 3rd floor ",Achrafieh,BE BEIRUT
BwS33,Beb w Shebek,Shelter,,,AC-33,,,Referred,Referred,,"Accaoui strt, bldg Salim Gholam, 2nd floor ",Achrafieh,GATSELERIA
BwS34,Beb w Shebek,Shelter,,,AC-34,,,Referred,Referred,1139/29,next to sagesse school,Achrafieh,SAHAR
BwS35,Beb w Shebek,Shelter,,,AC-35,,,Referred,Referred,,"Moscow Street, Sief and Mitri bldg, 6th Floor, Near Jesuite garden",Achrafieh,
BwS36,Beb w Shebek,Shelter,,,AC-36,,,Referred,Referred,,Next to Church Al Sayde,Achrafieh,
BwS37,Beb w Shebek,Shelter,,,AC-37,33.887615,35.524782,Completed,Completed,Ac_526,"RSayde Imm Kassab Street, Mzannar 5th floor",Achrafieh,ADRIA
BwS38,Beb w Shebek,Shelter,,,AC-38/1,33.890411,35.526253,Completed,Completed,Ac_59,Near le cadie achrafieh,Achrafieh,ALEX
BwS39,Beb w Shebek,Shelter,,,AC-38/2,33.890411,35.526253,Completed,Completed,Ac_59,Near le cadie achrafieh,Achrafieh,ALEX
BwS40,Beb w Shebek,Shelter,,,AC-39,,,Referred,Referred,,"Georges Kanaan Bldg, 2nd floor",Achrafieh,ADRIA
BwS41,Beb w Shebek,Shelter,,,AC-40,,,Referred,Referred,,"Karm Zeitoun, facing bouza bachir, tabbal Street, Khadarjian Bldg GF",Achrafieh,ADRIA
BwS42,Beb w Shebek,Shelter,,,AC-41,,,Referred,Referred,,"Karm Zeitoun, facing bouza bachir, tabbal Street, Khadarjian Bldg 2nd floor",Achrafieh,ADRIA
BwS43,Beb w Shebek,Shelter,,,AC-42,,,Referred,Referred,2319,"Khazinian Street, Siham and Hiam Maalouf bldg, near st. George hospital",Achrafieh,ADRIA
BwS44,Beb w Shebek,Shelter,,,AC-43,33.890034,35.510792,Referred,Referred,Ac_1187/11,"Ghandour El Saad street, Facing Bagagiere",Achrafieh,ADRIA
BwS45,Beb w Shebek,Shelter,,,AC-44,,,Referred,Referred,,"Rmeil, Building Peres Alepins, Pres Caporal et Moretti Face ministry des eaux et electricite - 4th floor",Achrafieh,GATSELERIA
BwS46,Beb w Shebek,Shelter,,,AC-45,33.894167,35.524944,Referred,Referred,,"Rmeil, Next to St. George hospital, facing emergency entrance, bldg 17 - 1st floor",Achrafieh,ALEX
BwS47,Beb w Shebek,Shelter,,,AC-46,33.894032,35.521828,Completed,Completed,Re_817/16,"Safadi Bldg, Moutrain Mubarak, Apt 7 Rmeil, Achrafieh",Achrafieh,ATECH AUSTRALIA
BwS48,Beb w Shebek,Shelter,,,AC-47,33.892918,35.511978,Referred,Referred,,Tabaris,Achrafieh,
BwS49,Beb w Shebek,Shelter,,,AC-48,,,Referred,Referred,,Next to Roum hospital,Achrafieh,GATSELERIA
BwS50,Beb w Shebek,Shelter,,,AC-49,33.891914,35.518417,Completed,Completed,Re_13/17,"Achrafieh, Facing ministry of exterior, Leyla Merheb Building, 5th Floor, Nader Bekhazi apt.",Achrafieh,MARIANA
BwS51,Beb w Shebek,Shelter,,,AC-50,,,Referred,Referred,131,Fassouh strt- waef marouni bldg- facing zahar kids- 2nd floor,Achrafieh,POLO
BwS52,Beb w Shebek,Shelter,,,AC-51,,,Referred,Referred,,Hopital room bldg dagher,Achrafieh,
BwS53,Beb w Shebek,Shelter,,,AC-52,33.891593,35.526101,Completed,Completed,Ac_841,,Achrafieh,ALEX
BwS54,Beb w Shebek,Shelter,,,AC-53,33.888222,35.525694,Referred,Referred,Ac_1136,"Joseph and Maroun Aoun bldg, Facing Saydeh School near saydeh church and janik restaurant",Achrafieh,HASSAN
BwS55,Beb w Shebek,Shelter,,,AC-54,33.889233,35.525967,Referred,Referred,,"Florida Bldg, Mgr Mserra Street, Fassouh",Achrafieh,NATION STATION
BwS56,Beb w Shebek,Shelter,,,AC-55,33.890139,35.524500,Not Started,Assigned,Ac_144,"Chahwan Building, Fassouh",Achrafieh,HASSAN
BwS57,Beb w Shebek,Shelter,,,AC-56,33.889645,35.525600,Referred,Referred,,"Fassouh, bldg saint rita - 2nd floor ",Achrafieh,HASSAN
BwS58,Beb w Shebek,Shelter,,,AC-57,,,Referred,Referred,,"Rmeil, facing st. Geroges hospital, ground floor, Dr. Anis Kfoury Road, Michel Achkar building",Achrafieh,HASSAN
BwS59,Beb w Shebek,Shelter,,,AC-58,,,Referred,Referred,,Rmeil- Behind Saint Joseph Church ,Achrafieh,HASSAN
BwS60,Beb w Shebek,Shelter,,,AC-59,,,In Progress,Referred,,"Tabaris, Salim Bustros Street Azar.",Achrafieh,BRICK BY BRICK
BwS61,Beb w Shebek,Shelter,,,AC-60,,,Referred,Referred,,Roum Hospital St. Karam tower 24th ,Achrafieh,GATSELERIA
BwS62,Beb w Shebek,Shelter,,,AC-61,33.895134,35.521755,Referred,Referred,Re_744/13,"Rmeil, Salah Labaki Street, Sahyoun Bldg, 2nd floor, next to Private hotel",Achrafieh,ADRIA
BwS63,Beb w Shebek,Shelter,,,AC-62,33.896431,35.525537,Completed,Completed,Re_2320,Getawi - khazenin strt- Nohad Azouri bldg- 3rd floor,Achrafieh,GATSELERIA
BwS64,Beb w Shebek,Shelter,,,AC-63,,,Referred,Referred,,,Achrafieh,GATSELERIA
BwS65,Beb w Shebek,Shelter,,,AC-64,33.892906,35.525921,Completed,Completed,Re_2397/17,Rmeil - Moscow strt - bldg Riad Abou Haidar ,Achrafieh,GATSELERIA
BwS66,Beb w Shebek,Shelter,,,AC-65,,,Referred,Referred,,"Fassouh - Mgr Atallah St, Ltiief bldg  3rd floor",Achrafieh,GATSELERIA
BwS67,Beb w Shebek,Shelter,,,AC-66,33.895371,35.524483,Completed,Completed,Re_699,"khaziniyi street near blom bank and roum hospital, Therese khoury bulding 1st floor",Achrafieh,JOEY
BwS68,Beb w Shebek,Shelter,,,AC-67,,,Referred,Referred,,Charles malek avenue- Yahchouchi bldg- 4h floor,Achrafieh,JOEY
BwS69,Beb w Shebek,Shelter,,,AC-68,33.894245,35.526218,Completed,Completed,Re_613,Rmeil jesuite bldg - block B- 3rd floor,Achrafieh,TIMA
BwS70,Beb w Shebek,Shelter,,,AC-69,,,Referred,Referred,,Next to Al roum Hospital ,Achrafieh,JOEY
BwS71,Beb w Shebek,Shelter,,,AC-70,,,Referred,Referred,,Saydi strt,Achrafieh,
BwS72,Beb w Shebek,Shelter,,,AC-71/1,33.891417,35.521750,Referred,Referred,1907,Lot 1907/Floor 1 ashrafiyeh mar Mitr street,Achrafieh,CHRISTEL
BwS73,Beb w Shebek,Shelter,,,AC-71/2,33.891417,35.521750,Referred,Referred,1907,Lot 1907/Floor 1 ashrafiyeh mar Mitr street,Achrafieh,CHRISTEL
BwS74,Beb w Shebek,Shelter,,,AC-71/3,33.891417,35.521750,Referred,Referred,1907,Lot 1907/Floor 2 ashrafiyeh mar Mitr street,Achrafieh,CHRISTEL
BwS75,Beb w Shebek,Shelter,,,AC-71/4,33.891417,35.521750,Referred,Referred,1907,Lot 1907/Floor 3 ashrafiyeh mar Mitr street,Achrafieh,CHRISTEL
BwS76,Beb w Shebek,Shelter,,,AC-72/1,33.891417,35.521750,Referred,Referred,500,Lot 500/Floor GF ashrafiyeh Mar Mitr street,Achrafieh,CHRISTEL
BwS77,Beb w Shebek,Shelter,,,AC-72/2,33.891417,35.521750,Referred,Referred,500,Lot 500/Floor 1 ashrafiyeh Mar Mitr street,Achrafieh,CHRISTEL
BwS78,Beb w Shebek,Shelter,,,AC-72/3,33.891417,35.521750,Referred,Referred,500,Lot 500/Floor 1 ashrafiyeh Mar Mitr street,Achrafieh,CHRISTEL
BwS79,Beb w Shebek,Shelter,,,AC-72/4,33.891417,35.521750,Referred,Referred,500,Lot 500/Floor 2 ashrafiyeh Mar Mitr street,Achrafieh,CHRISTEL
BwS80,Beb w Shebek,Shelter,,,AC-72/5,33.891417,35.521750,Referred,Referred,500,Lot 500/Floor 3 ashrafiyeh Mar Mitr street,Achrafieh,CHRISTEL
BwS81,Beb w Shebek,Shelter,,,AC-73,,,Referred,Referred,,"Near Wooden Bakery, Chahroury Rmeil",Achrafieh,
BwS82,Beb w Shebek,Shelter,,,AC-74,,,Referred,Referred,,,Achrafieh,
BwS83,Beb w Shebek,Shelter,,,AC-75,,,Referred,Referred,,,Achrafieh,
BwS84,Beb w Shebek,Shelter,,,AC-76,33.895023,35.519558,Referred,Referred,1137,Nzlt Akkawi- next to shrket el kahraba ,Achrafieh,TIMA
BwS85,Beb w Shebek,Shelter,,,AC-76/1,33.895023,35.519558,Referred,Referred,1137,Nzlt Akkawi- next to shrket el kahraba ,Achrafieh,TIMA
BwS86,Beb w Shebek,Shelter,,,AC-76/2,33.895023,35.519558,Referred,Referred,1137,Nzlt Akkawi- next to shrket el kahraba ,Achrafieh,TIMA
BwS87,Beb w Shebek,Shelter,,,AC-77,33.887764,35.523727,Completed,Completed,Ac_140,Sassine go toward church saidi - bldg next to Cafe -6th floor,Achrafieh,ZEINA BEKHAZI
BwS88,Beb w Shebek,Shelter,,,AC-78,33.894840,35.521164,Completed,Completed,Re_767,"Facing Hekme Church, ",Achrafieh,JOEY
BwS89,Beb w Shebek,Shelter,,,AC-79,,,Not Started,Not Started,,"Chahroury, Mar Boutros and Boulos street, infront of Laure Mghayzel school 6th floor",Achrafieh,
BwS90,Beb w Shebek,Shelter,,,AC-80,,,Referred,Referred,,"Rmeil, Yasoueie Garden",Achrafieh,
BwS91,Beb w Shebek,Shelter,,,AC-81,33.893383,35.520012,Completed,Completed,Re_419/17,"Rmeil, Sagesse",Achrafieh,ANDREA
BwS92,Beb w Shebek,Shelter,,,AC-82,33.888748,35.526695,Completed,Completed,Ac_4289,Karm L Zeytoun,Achrafieh,TIMA
BwS93,Beb w Shebek,Shelter,,,AC-83,33.889675,35.516556,Completed,Completed,Ac_608/15,419 abdel el wahab bldg ,Achrafieh,TIMA
BwS94,Beb w Shebek,Shelter,,,AC-84,33.882820,35.519516,In Progress,In Progress,Ac_2163,Near hotel dieu,Achrafieh,TIMA
BwS95,Beb w Shebek,Shelter,,,AC-85,33.892424,35.518808,Completed,Completed,Re_410/14,Debbas street Kanaan bldg 2nd floor,Achrafieh,ELHAM
BwS96,Beb w Shebek,Shelter,,,AC-86,33.893475,35.519977,Completed,Completed,Re_424/8,"Sagesse Street, Chalich Zou building 2nd floor",Achrafieh,BE BEIRUT
BwS97,Beb w Shebek,Shelter,,,AC-87,33.883667,35.518631,Completed,Completed,Ac_467,"Adib Ishak, facing Alexandre,Malk Mary Building",Achrafieh,TIMA
BwS98,Beb w Shebek,Shelter,,,AC-88,,,Referred,Referred,,"Rmeil, badawi Street, Al Rabanat al Halabiyat bldg, 4th floor",Achrafieh,
BwS99,Beb w Shebek,Shelter,,,AC-89,,,Referred,Referred,,"Rmeil Assailey Street, Maurice Alam Bldg, building number 13",Achrafieh,
BwS100,Beb w Shebek,Shelter,,,AC-90,,,Not Started,Not Started,Ac_2163,"Youssef Sawda Street, Nehme building, floor 1 and floor 4",Achrafieh,
BwS101,Beb w Shebek,Shelter,,,AC-91,33.888797,35.524678,Completed,Completed,Ac_317,Next to Mouassaset Michel Aoun Al Ikaria,Achrafieh,ALEX
BwS102,Beb w Shebek,Shelter,,,AC-92,,,Referred,Referred,567,"St. Nicolas Selim Abdel Hadi street, Azar bldg, facing SGBL, bloc B, 7th floor",Achrafieh,CELINE
BwS103,Beb w Shebek,Shelter,,,AC-93,,,Referred,Referred,1519,"Khenchara Street, Patriarch Arida Street, Rmeil,",Achrafieh,CELINE
BwS104,Beb w Shebek,Shelter,,,AC-93/1,,,Referred,Referred,1519,"Khenchara Street, Patriarch Arida Street, Rmeil,",Achrafieh,CELINE
BwS105,Beb w Shebek,Shelter,,,AC-94,,,Referred,Referred,1444,"Kataeb, Rmeil, Street Al Khazneen, Yuness Jbeily, Mukabbel Kniset Al Arman",Achrafieh,
BwS106,Beb w Shebek,Shelter,,,AC-95,,,Referred,Referred,846,"Rmeil, Mhatta Street, Samaha Building, facing Catholic Church",Achrafieh,
BwS107,Beb w Shebek,Shelter,,,AC-96,,,Referred,Referred,,Sahet Sassine- bldg Sassine facing liban - same bldg of blom bank- 5th floor,Achrafieh,
BwS108,Beb w Shebek,Shelter,,,AC-97,,,Referred,Referred,,Sassine - mafra2 on the left side of supermarket Ashrafieh- strt Abedul wahab- bldg Nohad Hanna- 2nd floor ,Achrafieh,
BwS109,Beb w Shebek,Shelter,,,AC-98,33.886972,35.531444,Completed,Completed,Ac_4524,Sheikh Gabi strt - Edward Boutros bldg- bloc A- 8th floor,Achrafieh,STUDIO CARAMEL
BwS110,Beb w Shebek,Shelter,,,AC-99,,,Referred,Referred,,Fassouh,Achrafieh,TIMA
BwS111,Beb w Shebek,Shelter,,,AC-100,33.891201,35.526151,Completed,Completed,Re_841,"Rmeil, Wooden Bakery, 2nd floor",Achrafieh,ALEX
BwS112,Beb w Shebek,Shelter,,,AC-101,,,Referred,Referred,,Kilikian Building-6th floor,Achrafieh,TIMA
BwS113,Beb w Shebek,Shelter,,,AC-101/1,,,Referred,Referred,,Kilikian Building-6th floor,Achrafieh,TIMA
BwS114,Beb w Shebek,Shelter,,,AC-102,33.888458,35.526615,Completed,Completed,Ac_4289/3,Near Sayde Church-3rd floor,Achrafieh,TIMA
BwS115,Beb w Shebek,Shelter,,,AC-103,33.892779,35.531396,Completed,Completed,Re_2082/11,Geitawi- 1st floor,Achrafieh,TIMA
BwS116,Beb w Shebek,Shelter,,,AC-104,33.886703,35.524334,Completed,Completed,Ac_1900/9,syoufi- 1st floor,Achrafieh,TIMA
BwS117,Beb w Shebek,Shelter,,,AC-105,,,Completed,Completed,Ac_2473,sassine next to byblos tower,Achrafieh,POLO
BwS118,Beb w Shebek,Shelter,,,AC-106,33.885517,35.517509,Completed,Completed,Ac_2473,Albert Khayat Street Ali Jammal Bldg 2nd Floor,Achrafieh,TIMA
BwS119,Beb w Shebek,Shelter,,,AC-107,,,Referred,Referred,1841,Nazlet el aakaoui - Towards Roum hostpital - first exit to the left same street as PAR MAISON supermarket - Mounayyar Building,Achrafieh,ANDREA
BwS120,Beb w Shebek,Shelter,,,AC-108,33.893418,35.520010,Completed,Completed,Re_419/17,"Building Samir w Sara Abdo, 4th floor, next to Sagesse school",Achrafieh,ANDREA
BwS121,Beb w Shebek,Shelter,,,AC-109,,,Referred,Referred,4583,Fasouh  al shahrouri- strt mar boutros facing beirut municipality- bldg Artinian - 3rd floor ,Achrafieh,BRICK BY BRICK
BwS122,Beb w Shebek,Shelter,,,AC-110,33.890034,35.510792,Referred,Referred,Ac_1187/11,strt Ghandour el Saad - bldg Hachem- 5th floor,Achrafieh,STUDIO CARAMEL
BwS123,Beb w Shebek,Shelter,,,AC-111,,,Referred,Referred,513,Ghazalieh strt - Eid bldg - 1st floor - bloc C,Achrafieh,STUDIO CARAMEL
BwS124,Beb w Shebek,Shelter,,,AC-112,,,Referred,Referred,,Geitawi strt Koubayat im elias - Facing municipality of Beirut - 3rd floor ,Achrafieh,STUDIO CARAMEL
BwS125,Beb w Shebek,Shelter,,,AC-114,33.892445,35.532692,Completed,Completed,Ac_4000,Badawi strt - Daoud Tohmeh bldg - 4th floor ,Achrafieh,STUDIO CARAMEL
BwS126,Beb w Shebek,Shelter,,,AC-115,33.884748,35.520548,Completed,Completed,Ac_4282,Sassine -2nd floor ,Achrafieh,STUDIO CARAMEL
BwS127,Beb w Shebek,Shelter,,,AC-116,33.883583,35.525303,Completed,Completed,Ac_4335/13,Sioufi next to Bank Libano Francais - strt Amine Gemayel -bldg Bacha - 5th floor,Achrafieh,STUDIO CARAMEL
BwS128,Beb w Shebek,Shelter,,,AC-117,33.894638,35.525120,Completed,Completed,Re_2180/27,Rmeil - on the way from roum to beit kataeb Rmeil - bldg Zakhour - in front of BLOM Rmeil entrance in the road on the right after Blom  -3rd floor Maurice  Ghossen house ,Achrafieh,MARIANA
BwS129,Beb w Shebek,Shelter,,,AC-118,33.891594,35.526356,Completed,Completed,Ac_4942/18,Geitawi - strt Louis - next to Chahrouri gas station - Gebara bldg - 4th floor,Achrafieh,STUDIO CARAMEL
BwS130,Beb w Shebek,Shelter,,,AC-119,,,Completed,Completed,Ac_3614,Karm El Zeitoun - Nazlet Bouzet - 4th building - 2nd floor ,Achrafieh,STUDIO CARAMEL
BwS131,Beb w Shebek,Shelter,,,AC-120,,,Referred,Referred,1790,Raaeh El saleh - Block Delta 2 - 3rd floor ,Achrafieh,STUDIO CARAMEL
BwS132,Beb w Shebek,Shelter,,,AC-121,33.893898,35.519737,Completed,Completed,Re_779,Strt Roum Hospital - bldg Balirian - 1st floor,Achrafieh,STUDIO CARAMEL
BwS133,Beb w Shebek,Shelter,,,AC-122,,,Referred,Referred,,Karem El Zaitoun- bldg Alaam - 4th floor ,Achrafieh,
BwS134,Beb w Shebek,Shelter,,,AC-123,33.889893,35.508122,Completed,Completed,Sa_228,Fuvlan street masabni street 1st floor,Achrafieh,GATSELERIA
BwS135,Beb w Shebek,Shelter,,,AC-124,,,Completed,Completed,,"Tabaris derrière église st maron, rue Charles debbas, imm Chidiac(,no779) 3ème étage,appartement (no17) à droite en face de l'ascenseur  et bureau à gauche( no 16)",Achrafieh,ATECH AUSTRALIA
BwS136,Beb w Shebek,Shelter,,,AC-125,33.887425,35.530499,Completed,Completed,Ac_4066,"Achrafieh, strt Ghaba tal3t karam, facing gallery boulous, bldg al salam, 2nd floor",Achrafieh,BE BEIRUT
BwS137,Beb w Shebek,Shelter,,,AC-126,,,Referred,Referred,,"accawi street, hasbany bldg 5th floor",Achrafieh,
BwS138,Beb w Shebek,Shelter,,,AC-127,33.884895,35.516567,Referred,Referred,1400,"khairalla khairallah street, next to gray bldg, 4th floor",Achrafieh,GROUP 01
BwS139,Beb w Shebek,Shelter,,,AC-128,33.889528,35.518972,Referred,Referred,,"mariam geahchan street, next to Zahr el Ihsan school, Tabbah Building ",Achrafieh,STUDIO CARAMEL
BwS140,Beb w Shebek,Shelter,,,AC-129,,,Referred,Referred,,fassouh street st luis imm harin ferezle 4th floor,Achrafieh,TIMA
BwS141,Beb w Shebek,Shelter,,,AC-130,,,Not Started,Not Started,,"Fawaz building 3rd floor, above constantine jewelry and elie matta",Achrafieh,
BwS142,Beb w Shebek,Shelter,,,AC-131,,,Referred,Referred,,,Achrafieh,CHRISTEL
BwS143,Beb w Shebek,Shelter,,,AC-132,,,Referred,Referred,,salah labaki street next to roum hospital,Achrafieh,
BwS144,Beb w Shebek,Shelter,,,AC-133,33.894718,35.523342,Referred,Referred,,next to al roum hospital,Achrafieh,GROUP 01
BwS145,Beb w Shebek,Shelter,,,AC-134,33.895224,35.520726,Referred,Referred,,"salah labaki street, abboud building 3rd floor.",Achrafieh,GROUP 01
BwS146,Beb w Shebek,Shelter,,,AC-135,33.891476,35.526234,Referred,Referred,,"fassouh, st louis st, raja zacca bldg, 6th floor",Achrafieh,CHRISTOPHE
BwS147,Beb w Shebek,Shelter,,,AC-136,,,Referred,Referred,,"fassouh, joseph jbarabldg 4th floor",Achrafieh,
BwS148,Beb w Shebek,Shelter,,,AC-138,,,Referred,Referred,,"asseily street, abou ghayda bldg, 6th floor",Achrafieh,
BwS149,Beb w Shebek,Shelter,,,AC-139,33.896423,35.525372,Referred,Referred,,,Achrafieh,
BwS150,Beb w Shebek,Shelter,,,AC-140,33.884354,35.514248,Completed,Completed,Ac_885,"near rizk hospital, shamitelle street, mohamad ali yassin bldg",Achrafieh,ALEX
BwS151,Beb w Shebek,Shelter,,,AC-141,,,Referred,Referred,,"st louis street, 858 bldg, 1st floor",Achrafieh,
BwS152,Beb w Shebek,Shelter,,,AC-142,,,Referred,Referred,,"abdel wahab el inglizi street, next to tsunami restaurant, bldg 301, top floor",Achrafieh,
BwS153,Beb w Shebek,Shelter,,,AC-143,33.887756,35.509506,Completed,Completed,Sa_30,abdul wahab street next to bashir,Achrafieh,GATSELERIA
BwS154,Beb w Shebek,Shelter,,,AC-144,,,Referred,Referred,,"badawi street, daoud tohme bldg 1st floor , ikar #4000",Achrafieh,STUDIO CARAMEL
BwS155,Beb w Shebek,Shelter,,,AC-145,33.894373,35.515331,Referred,Referred,Re_2135,"sursock street, st nicolas stairs, adjamian building, 1st floor",Achrafieh,MIKE
BwS156,Beb w Shebek,Shelter,,,AC-146,,,Completed,Completed,Re_2354/19,"youssef sursock street, nourian building",Achrafieh,ZEINA BEKHAZI
BwS157,Beb w Shebek,Shelter,,,AC-147,,,Completed,Completed,Ac_4263,"tabbal street, sayde street, ground floor",Achrafieh,ZEINA BEKHAZI
BwS158,Beb w Shebek,Shelter,,,AC-148,,,Referred,Referred,,"tabbaris, semaani street, edmond khoury, 2nd floor",Achrafieh,
BwS159,Beb w Shebek,Shelter,,,AC-149,33.884666,35.517921,Completed,Completed,Ac_4932,"kheirallah street, hahan abou zeid building, ground floor",Achrafieh,GATSELERIA
BwS160,Beb w Shebek,Shelter,,,AC-149/1,33.884666,35.517921,Completed,Completed,Ac_4932,"adib ishaac street, near spinneys, abou zeid bldg",Achrafieh,MIKE
BwS161,Beb w Shebek,Shelter,,,AC-149/2,33.884666,35.517921,In Progress,In Progress,Ac_4932,"adib ishaac street, near spinneys, abou zeid bldg",Achrafieh,MIKE
BwS162,Beb w Shebek,Shelter,,,AC-150,33.894016,35.524735,Referred,Referred,2194/24,"next to roum hospital, jnaynit lyesou3iye, anis kfoury street, abdelmasih bldg, 4th floor",Achrafieh,
BwS163,Beb w Shebek,Shelter,,,AC-151,33.887321,35.521188,Completed,Completed,Ac_1570,ashrafieh street anis hnaikaty bldg GF on the right,Achrafieh,BRICK BY BRICK
BwS164,Beb w Shebek,Shelter,,,AC-152,33.887321,35.521188,Completed,Completed,Ac_1570,ashrafieh street anis hnaikaty bldg GF on the left,Achrafieh,BRICK BY BRICK
BwS165,Beb w Shebek,Shelter,,,AC-153,33.888542,35.518027,Completed,Completed,Ac_570,ashrafieh street Massabni bldg 2nd floor ,Achrafieh,BRICK BY BRICK
BwS166,Beb w Shebek,Shelter,,,AC-154,,,Referred,Referred,,"الأشرفية جانب مستشفى الروم, شارع ثلاث قمار, الاشرفية/الروم, مبنى نعمةالله سعادة, بجانب مختبرات نجيم",Achrafieh,
BwS167,Beb w Shebek,Shelter,,,AC-155,,,Referred,Referred,,"الاشرفية فسوح, الشاحوري, الشاحوري, مبنى ارتينيان, جانب مركز البلدية",Achrafieh,BRICK BY BRICK
